Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 1 25  25  22.00   2.60   1.50                     
 1 25  25  23.00   2.50   1.50                     
 1 25  25   0.00   2.20   1.70                     
 1 25  25   3.00          2.00                     
 1 25  25   4.00   2.00   1.50                     
 1 25  25   5.00   3.90   1.70   1.70              
 1 25  25   6.00   4.50   2.80                     
 1 25  25   7.00   4.50   3.00   2.20              
 1 25  25   8.00   5.10   2.60   2.60              
 1 25  25   9.00   5.40   2.60   2.60              
 1 25  25  10.00   5.30   2.00   2.50              
 1 25  25  11.00   4.90   2.10                     
 1 25  25  12.00   4.40   2.20                     
 1 25  25  13.00   4.00   1.50   1.50              
 1 25  25  14.00   3.00   1.60                     
 1 25  25  15.00   2.20   2.30                     
 1 25  25  16.00   2.00   2.10                     
 1 25  25  17.00   2.50   2.10                     
 1 25  25  18.00   2.40   1.80                     
 1 25  25  19.00   2.00   1.80                     
 1 25  25  20.00   2.00   2.50                     
 1 25  25  21.00   2.40   1.50                     
