Mo da yda  time  FoF2
 2 23  54  22.00    3.7
 2 23  54  23.00    3.5
 2 23  54   0.00   3.55
 2 23  54   1.00    3.5
 2 23  54   2.00    3.6
 2 23  54   3.00    3.0
 2 23  54   4.00   2.75
 2 23  54   5.00    4.2
 2 23  54   6.00    5.1
 2 23  54   7.00    5.5
 2 23  54   8.00   5.75
 2 23  54   9.00    6.3
 2 23  54  10.00    6.0
 2 23  54  11.00   6.05
 2 23  54  12.00    6.0
 2 23  54  13.00    5.7
 2 23  54  14.00    6.1
 2 23  54  15.00    5.2
 2 23  54  16.00    4.4
 2 23  54  17.00   3.75
 2 23  54  18.00    3.3
 2 23  54  19.00   3.25
 2 23  54  20.00    3.3
 2 23  54  21.00   2.75
