Mo da yda  time  FoF2
12 27 361  22.00    2.9
12 27 361  23.00   3.05
12 27 361   0.00    3.0
12 27 361   1.00    3.0
12 27 361   2.00    2.9
12 27 361   3.00    3.0
12 27 361   4.00    3.0
12 27 361   5.00   2.95
12 27 361   6.00    4.2
12 27 361   7.00    5.8
12 27 361   8.00    4.4
12 27 361   9.00    4.5
12 27 361  10.00    5.5
12 27 361  11.00    6.1
12 27 361  12.00    5.1
12 27 361  13.00    3.7
12 27 361  14.00    4.0
12 27 361  16.00    2.7
12 27 361  17.00    2.5
12 27 361  18.00   2.55
12 27 361  19.00    3.0
12 27 361  20.00   3.15
12 27 361  21.00    3.2
