Mo da yda  time  FoF2
 1 17  17  22.00    2.7
 1 17  17  23.00    2.6
 1 17  17   0.00    2.7
 1 17  17   1.00    2.0
 1 17  17   2.00    1.9
 1 17  17   3.00    2.3
 1 17  17   4.00    2.1
 1 17  17   5.00    2.4
 1 17  17   6.00    3.9
 1 17  17   7.00    4.6
 1 17  17   8.00    5.3
 1 17  17   9.00    5.3
 1 17  17  10.00    5.5
 1 17  17  11.00    5.2
 1 17  17  12.00    5.0
 1 17  17  13.00    5.3
 1 17  17  14.00    3.7
 1 17  17  15.00    2.8
 1 17  17  16.00    2.5
 1 17  17  17.00   2.45
 1 17  17  18.00    2.3
 1 17  17  19.00    2.5
 1 17  17  20.00    2.6
 1 17  17  21.00    2.6
