Mo da yda  time  FoF2
 2 19  50  22.00    2.5
 2 19  50   0.00    2.6
 2 19  50   1.00    3.3
 2 19  50   2.00    3.0
 2 19  50   3.00    2.3
 2 19  50   4.00    2.0
 2 19  50   5.00    3.4
 2 19  50   6.00    4.5
 2 19  50   7.00    4.8
 2 19  50   8.00    5.1
 2 19  50   9.00    5.8
 2 19  50  10.00    6.2
 2 19  50  11.00    5.9
 2 19  50  12.00    6.0
 2 19  50  13.00    5.7
 2 19  50  14.00    5.8
 2 19  50  15.00   5.45
 2 19  50  16.00    4.0
 2 19  50  17.00    3.6
 2 19  50  18.00   2.75
 2 19  50  19.00    2.5
 2 19  50  20.00   2.15
 2 19  50  21.00   2.25
