Mo da yda  time  FoF2
 1 31  31  22.00    3.0
 1 31  31  23.00    3.5
 1 31  31   0.00    3.5
 1 31  31   1.00    3.5
 1 31  31   2.00    2.8
 1 31  31   4.00    3.0
 1 31  31   5.00    3.4
 1 31  31   6.00    4.2
 1 31  31   7.00    4.1
 1 31  31   9.00    4.7
 1 31  31  11.00    4.9
 1 31  31  12.00    4.6
 1 31  31  13.00    5.3
 1 31  31  14.00    4.4
 1 31  31  16.00    2.6
 1 31  31  17.00    2.7
 1 31  31  18.00    3.0
 1 31  31  19.00    3.1
 1 31  31  20.00    2.7
 1 31  31  21.00    3.1
