time    FoF2
0.000000000000000000e+00 nan
1.000000000000000000e+00 nan
2.000000000000000000e+00 nan
3.000000000000000000e+00 nan
4.000000000000000000e+00 nan
5.000000000000000000e+00 nan
6.000000000000000000e+00 nan
7.000000000000000000e+00 nan
8.000000000000000000e+00 1.199999999999999956e+00
9.000000000000000000e+00 1.600000000000000089e+00
1.000000000000000000e+01 nan
1.100000000000000000e+01 3.700000000000000178e+00
1.200000000000000000e+01 3.899999999999999911e+00
1.300000000000000000e+01 4.200000000000000178e+00
1.400000000000000000e+01 4.099999999999999645e+00
1.500000000000000000e+01 4.299999999999999822e+00
1.600000000000000000e+01 4.200000000000000178e+00
1.700000000000000000e+01 nan
1.800000000000000000e+01 nan
1.900000000000000000e+01 nan
2.000000000000000000e+01 nan
2.100000000000000000e+01 nan
2.200000000000000000e+01 nan
2.300000000000000000e+01 nan
