Mo da yda  time  FoF2
 2  7  38  22.00    2.9
 2  7  38  23.00    2.7
 2  7  38   0.00    2.9
 2  7  38   1.00    2.8
 2  7  38   2.00    2.5
 2  7  38   3.00    1.9
 2  7  38   4.00    2.2
 2  7  38   5.00    3.2
 2  7  38   6.00    4.1
 2  7  38   7.00    5.4
 2  7  38   8.00    5.4
 2  7  38   9.00    5.2
 2  7  38  10.00    5.0
 2  7  38  11.00    4.8
 2  7  38  12.00    4.5
 2  7  38  13.00    4.3
 2  7  38  14.00    4.5
 2  7  38  15.00    4.2
 2  7  38  16.00    2.8
 2  7  38  17.00    2.7
 2  7  38  18.00    2.0
 2  7  38  19.00    2.0
 2  7  38  20.00   2.15
 2  7  38  21.00   2.25
