Mo da yda  time  FoF2
 1 10  10  22.00    2.8
 1 10  10  23.00    3.1
 1 10  10   0.00    2.8
 1 10  10   1.00    2.3
 1 10  10   2.00    2.0
 1 10  10   3.00    1.5
 1 10  10   4.00    1.5
 1 10  10   5.00    1.8
 1 10  10   6.00    3.3
 1 10  10   7.00    4.2
 1 10  10   8.00    4.6
 1 10  10   9.00    5.4
 1 10  10  10.00    5.4
 1 10  10  11.00   4.75
 1 10  10  12.00    4.9
 1 10  10  13.00    3.6
 1 10  10  14.00    3.0
 1 10  10  15.00    2.8
 1 10  10  16.00    2.7
 1 10  10  17.00    2.9
 1 10  10  18.00    2.3
 1 10  10  19.00    2.5
 1 10  10  20.00    2.6
 1 10  10  21.00    2.9
