Mo da yda  time  FoF2
 2 14  45  22.00    2.8
 2 14  45  23.00    2.7
 2 14  45   0.00    2.9
 2 14  45   1.00   2.75
 2 14  45   2.00    2.5
 2 14  45   3.00    1.9
 2 14  45   5.00    3.2
 2 14  45   6.00    4.3
 2 14  45   7.00    5.2
 2 14  45   8.00    6.1
 2 14  45   9.00    6.3
 2 14  45  10.00    6.9
 2 14  45  11.00   6.65
 2 14  45  12.00    6.2
 2 14  45  13.00    6.0
 2 14  45  14.00    5.2
 2 14  45  15.00    5.2
 2 14  45  16.00    3.4
 2 14  45  17.00    3.6
 2 14  45  18.00    3.1
 2 14  45  19.00    2.9
 2 14  45  21.00    2.8
