Mo da yda  time  FoF2
 3 11  70  22.00   3.15
 3 11  70  23.00    3.1
 3 11  70   0.00    3.2
 3 11  70   1.00    3.2
 3 11  70   2.00    3.2
 3 11  70   3.00   2.85
 3 11  70   4.00    3.6
 3 11  70   5.00    4.3
 3 11  70   6.00    4.6
 3 11  70   7.00    5.0
 3 11  70   8.00   5.55
 3 11  70   9.00    5.0
 3 11  70  10.00    5.1
 3 11  70  11.00    5.0
 3 11  70  12.00    5.1
 3 11  70  13.00   4.75
 3 11  70  14.00    4.5
 3 11  70  15.00    4.3
 3 11  70  16.00    3.7
 3 11  70  17.00    3.7
 3 11  70  18.00    3.5
 3 11  70  19.00    3.3
 3 11  70  20.00    2.9
 3 11  70  21.00    2.8
